x,y
1900,B-MONEY
万,I-MONEY
円,I-MONEY
増,O
…,O
日ハム,O
が,O
7,O
選手,O
と,O
契約,O
更改,O
。,O
,O
オリックス,O
の,O
若月,O
健,O
矢,O
捕手,O
が,O
29,O
日,O
、,O
契約,O
更改,O
交渉,O
を,O
行い,O
500,B-MONEY
万,I-MONEY
円,I-MONEY
アップ,O
の,O
年俸,O
4500,B-MONEY
万,I-MONEY
円,I-MONEY
で,O
サイン,O
し,O
た,O
。,O
（,O
金額,O
は,O
推定,O
）,O
,O
日本ハム,O
・,O
平沼,O
翔太,O
内野,O
手,O
（,O
22,O
）,O
が,O
27,O
日,O
、,O
札幌,O
市内,O
の,O
球団,O
事務所,O
で,O
契約,O
更改,O
交渉,O
に,O
臨み,O
、,O
今季,O
年俸,O
570,B-MONEY
万,I-MONEY
円,I-MONEY
から,O
430,B-MONEY
万,I-MONEY
増,O
の,O
1000,B-MONEY
万,I-MONEY
円,I-MONEY
で,O
サイン,O
し,O
た,O
（,O
金額,O
は,O
推定,O
）,O
。,O
,O
